Assembly	# misassemblies	  # contig misassemblies	    # c. relocations	    # c. translocations	    # c. inversions	  # scaffold misassemblies	    # s. relocations	    # s. translocations	    # s. inversions	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# mismatches	# indels	    # indels (<= 5 bp)	    # indels (> 5 bp)	Indels length
spades se	33	33	33	0	0	0	0	0	0	2	199972	10	0	0	0	582	103	34	69	3418
spades pe	33	33	33	0	0	0	0	0	0	2	199972	10	0	0	0	582	103	34	69	3418
spades mp	33	33	33	0	0	0	0	0	0	2	199972	10	0	0	0	582	103	34	69	3418
