# BUSCO version is: 6.0.0 
# The lineage dataset is: bacteria_odb12 (Creation date: 2025-05-14, number of genomes: 3130, number of BUSCOs: 116)
# Busco id
9771806at2
9776390at2
9778364at2
9782003at2
9790352at2
9791908at2
9793681at2
9801107at2
9801213at2
9801549at2
9801753at2
9802065at2
9802219at2
9802309at2
9802554at2
9803667at2
9803740at2
9803884at2
9803954at2
9804006at2
9804072at2
9804478at2
9804753at2
9805455at2
9806661at2
9806954at2
9807064at2
9807240at2
9807553at2
9808348at2
9808773at2
9808936at2
9809052at2
9809356at2
9809796at2
9811804at2
9812272at2
9812702at2
9812943at2
