# BUSCO version is: 6.0.0 
# The lineage dataset is: mycoplasmatales_odb12 (Creation date: 2025-05-14, number of genomes: 32, number of BUSCOs: 205)
# Busco id
10887at2085
10892at2085
10894at2085
10897at2085
10902at2085
10907at2085
10913at2085
10916at2085
10925at2085
10930at2085
10938at2085
10939at2085
10945at2085
10966at2085
10967at2085
10984at2085
10991at2085
1287at2085
2883at2085
5880at2085
6032at2085
631at2085
6376at2085
6384at2085
6403at2085
6416at2085
6446at2085
6471at2085
6500at2085
6501at2085
6508at2085
6528at2085
6640at2085
6658at2085
6752at2085
6814at2085
6885at2085
6930at2085
7006at2085
7008at2085
7026at2085
7035at2085
7075at2085
7085at2085
7112at2085
7136at2085
7172at2085
7202at2085
7292at2085
7308at2085
7434at2085
7448at2085
7526at2085
7542at2085
7544at2085
7579at2085
7585at2085
7633at2085
7697at2085
7741at2085
7742at2085
7744at2085
7755at2085
7784at2085
7787at2085
7796at2085
7803at2085
7831at2085
7851at2085
7853at2085
7924at2085
7934at2085
7943at2085
7945at2085
7950at2085
8021at2085
8107at2085
8189at2085
8245at2085
