#Position (bp)	insert size
1048.5	3751.7135416666665
3144.5	1969.0652173913043
5240.5	2006.0714285714287
7336.5	374.93859649122805
9432.5	346.646408839779
11528.5	699.9221556886228
13624.5	4692.514851485149
15720.5	348.26008968609864
17816.5	3150.3961352657007
19912.5	349.29857819905214
22008.5	4494.0
24104.5	2909.371040723982
26200.5	1743.6467661691543
28296.5	1718.7696078431372
30392.5	348.7291666666667
32488.5	1259.125
34584.5	349.6862745098039
36680.5	349.0693069306931
38776.5	358.3406862745098
40872.5	339.59798994974875
42968.5	342.8715596330275
45064.5	351.2911392405063
47160.5	348.24380165289256
49256.5	349.50243902439024
51352.5	347.7798165137615
53448.5	347.66315789473686
55544.5	349.6470588235294
57640.5	349.71875
59736.5	346.4263157894737
61832.5	349.4025423728813
63928.5	708.0731707317074
66024.5	2063.296296296296
68120.5	3321.644549763033
70216.5	2689.583001328021
72312.5	3783.2756756756758
74408.5	350.2266666666667
76504.5	349.6511627906977
78600.5	348.5982142857143
80696.5	349.26
82792.5	1235.356940509915
84888.5	10428.32
86984.5	350.8041237113402
89080.5	349.7284482758621
91176.5	366.3125
93272.5	406.97115384615387
95368.5	385.5854922279793
97464.5	349.3150684931507
99560.5	350.14462809917353
101656.5	349.9441340782123
103752.5	350.122905027933
105848.5	344.61137440758296
107944.5	349.0229357798165
110040.5	349.1880341880342
112136.5	339.2054794520548
114232.5	353.58730158730157
116328.5	303.3487654320988
118424.5	349.38235294117646
120520.5	347.67289719626166
122616.5	349.7083333333333
124712.5	337.00787401574803
126808.5	346.55555555555554
128904.5	360.5485436893204
131000.5	345.6453201970443
133096.5	346.75757575757575
135192.5	352.97014925373134
137288.5	349.39408866995075
139384.5	348.85645933014354
141480.5	352.48068669527896
143576.5	337.59090909090907
145672.5	332.0858585858586
147768.5	348.78
149864.5	348.12626262626264
151960.5	350.434554973822
154056.5	343.24778761061947
156152.5	350.18016194331983
158248.5	349.39247311827955
160344.5	346.0093023255814
162440.5	344.724
164536.5	421.4157894736842
166632.5	400.849593495935
168728.5	346.1989247311828
170824.5	292.0345710627401
172920.5	331.47757255936676
175016.5	916.2084942084942
177112.5	992.819587628866
179208.5	350.0618556701031
181304.5	1661.8018433179723
183400.5	349.0100502512563
185496.5	361.62608695652176
187592.5	653.4090909090909
189688.5	347.90526315789475
191784.5	546.5797101449275
193880.5	406.75563909774434
195976.5	450.71945259042036
198072.5	344.3819188191882
200168.5	349.5695652173913
202264.5	349.3271889400922
204360.5	349.08962264150944
206456.5	349.1436170212766
208552.5	346.19642857142856
210648.5	495.917695473251
212744.5	660.303317535545
214840.5	477.48523206751054
216936.5	349.0561224489796
219032.5	349.00467289719626
221128.5	348.9865470852018
223224.5	348.75113122171945
225320.5	341.60538116591925
227416.5	363.3448275862069
229512.5	350.5128205128205
231608.5	340.9175824175824
233704.5	345.54117647058825
235800.5	553.4708994708994
237896.5	351.4567307692308
239992.5	351.4744094488189
242088.5	353.9620853080569
244184.5	2477.6363636363635
246280.5	1240.028901734104
248376.5	1083.3333333333333
250472.5	726.0450450450451
252568.5	1754.9197860962568
254664.5	441.0082644628099
256760.5	348.41777777777776
258856.5	1773.4111675126903
260952.5	605.9065420560747
263048.5	867.79203539823
265144.5	681.021978021978
267240.5	369.09722222222223
269336.5	347.574358974359
271432.5	1510.7183908045977
273528.5	672.0822510822511
275624.5	843.3058823529411
277720.5	1358.9605263157894
279816.5	1007.0801687763714
281912.5	508.8945147679325
284008.5	681.8074712643678
286104.5	891.4251207729469
288200.5	830.2897196261682
290296.5	703.6414141414141
292392.5	358.90529247910865
294488.5	524.0
296584.5	480.91324200913243
298680.5	377.48254189944134
300776.5	343.4485488126649
302872.5	538.9585253456221
304968.5	349.37113402061857
307064.5	343.9543147208122
309160.5	345.51428571428573
311256.5	347.22907488986783
313352.5	348.1355140186916
315448.5	348.3076923076923
317544.5	347.87713310580205
319640.5	364.9961832061069
321736.5	349.45421245421244
323832.5	347.8098591549296
325928.5	416.651724137931
328024.5	414.5497076023392
330120.5	362.5698113207547
332216.5	349.19407894736844
334312.5	348.65234375
336408.5	348.71495327102804
338504.5	349.90816326530614
340600.5	364.5688748685594
342696.5	348.61538461538464
344792.5	345.6875
346888.5	338.34804539722575
348984.5	371.8898678414097
351080.5	348.3697478991597
353176.5	349.1137855579869
355272.5	348.25235849056605
357368.5	350.9700374531835
359464.5	349.21505376344084
361560.5	372.5219298245614
363656.5	348.81900452488685
365752.5	363.00375939849624
367848.5	352.1904761904762
369944.5	345.8541666666667
372040.5	348.83404255319147
374136.5	345.52659574468083
376232.5	349.00452488687785
377546.0	347.6470588235294
378594.0	391.7046979865772
380424.5	389.1767441860465
382520.5	305.8936170212766
384616.5	318.81675392670155
386712.5	325.14218009478674
388808.5	336.2164502164502
390904.5	339.90731707317076
393000.5	337.8066037735849
395096.5	276.14953271028037
397192.5	247.45089285714286
399288.5	275.07246376811594
401384.5	1162.010101010101
403480.5	287.1788990825688
405576.5	281.7129186602871
407672.5	281.91866028708137
409768.5	272.51965065502185
411864.5	268.31775700934577
413960.5	272.8960396039604
416056.5	301.0684210526316
418152.5	1364.5527426160338
420248.5	610.804255319149
422344.5	348.8967136150235
424440.5	348.36915887850466
426536.5	348.7751196172249
428632.5	369.60849056603774
430728.5	1073.7932330827068
432824.5	272.751572327044
434920.5	346.752427184466
437016.5	285.8555858310627
439112.5	240.64722822174227
441208.5	279.6923076923077
443304.5	298.07567567567565
445400.5	304.0394088669951
447496.5	880.8684210526316
449592.5	427.9779200706558
451688.5	338.8068669527897
453784.5	240.91989664082686
455880.5	257.984496124031
457976.5	366.2340425531915
460072.5	331.6949152542373
462168.5	346.9
464264.5	449.31111111111113
466360.5	494.89958158995813
468456.5	342.64248704663214
470552.5	434.41875
472648.5	385.4
474744.5	310.9138755980861
476840.5	267.9688888888889
478936.5	340.0093457943925
481032.5	348.75824175824175
483128.5	269.5873786407767
485224.5	351.1039603960396
487320.5	347.319587628866
489416.5	1628.5031446540881
491512.5	732.6
493608.5	366.48333333333335
495704.5	1020.568493150685
497800.5	958.9287925696594
499896.5	1037.5344827586207
501992.5	389.71826625386996
504088.5	1052.523489932886
506184.5	358.4732142857143
508280.5	383.795652173913
510376.5	308.3777777777778
512472.5	420.44444444444446
514568.5	347.80321285140565
516664.5	346.0057142857143
518760.5	342.08878504672896
520856.5	298.2987654320988
522952.5	265.38545454545454
525048.5	347.234375
527144.5	463.0346715328467
529240.5	463.2288602941176
531336.5	1139.7772727272727
533432.5	565.5778175313059
535528.5	332.11829652996846
537624.5	617.81179138322
539720.5	385.13695395513577
541816.5	333.2361963190184
543912.5	344.9
546008.5	291.33482142857144
548104.5	278.68283582089555
550200.5	339.87391304347824
552296.5	356.2026431718062
554392.5	345.8046511627907
556488.5	342.2620320855615
558584.5	1271.2981651376147
560680.5	350.6461538461538
562776.5	345.17224880382776
564872.5	386.6170212765957
566968.5	348.6090534979424
569064.5	352.3688888888889
571160.5	352.46583850931677
573256.5	347.8031914893617
575352.5	342.17543859649123
577448.5	349.58986175115206
579544.5	291.771186440678
581640.5	349.42
583736.5	1459.9754098360656
585832.5	1561.081081081081
587928.5	616.7011795543906
590024.5	342.1923076923077
592120.5	342.3457760314342
594216.5	273.57097791798105
596312.5	336.54545454545456
598408.5	348.8172588832487
600504.5	348.75773195876286
602600.5	335.44239631336404
604696.5	334.235
606792.5	304.22549019607845
608888.5	256.8493723849372
610984.5	325.5132743362832
613080.5	351.45893719806764
615176.5	349.11682242990656
617272.5	348.13861386138615
619368.5	346.05392156862746
621464.5	346.99095022624437
623560.5	349.2748815165877
625656.5	508.6313131313131
627752.5	351.6779661016949
629848.5	340.07142857142856
631944.5	348.83474576271186
634040.5	2871.953125
636136.5	347.8382352941176
638232.5	766.2153284671533
640328.5	1072.1204379562043
642424.5	690.4304635761589
644520.5	560.024077046549
646616.5	626.3604465709728
648712.5	526.6919642857143
650808.5	604.5644444444445
652904.5	685.319391634981
655000.5	343.135593220339
657096.5	1132.1337792642141
659192.5	892.1687242798354
661288.5	1509.4193548387098
663384.5	525.8979591836735
665480.5	352.03614457831327
667576.5	714.8194444444445
669672.5	496.16062176165804
671768.5	670.7409090909091
673864.5	503.2689655172414
675960.5	501.3644859813084
678056.5	746.3629893238434
680152.5	351.11715481171547
682248.5	515.2088353413654
684344.5	935.6126126126126
686440.5	415.76643990929705
688536.5	452.0048076923077
690632.5	346.86820809248553
692728.5	577.50826446281
694824.5	366.69029850746267
696920.5	651.6806722689075
699016.5	364.85168539325844
701112.5	347.49295774647885
703208.5	372.72854291417167
705304.5	291.99074074074076
707400.5	321.156330749354
709496.5	340.4846743295019
711592.5	329.09090909090907
713688.5	349.13452914798205
715784.5	348.25136612021856
717880.5	360.9789473684211
719976.5	397.85128205128206
722072.5	348.9478260869565
724168.5	349.17816091954023
726264.5	348.62176165803106
728360.5	348.90575916230364
730456.5	349.09852216748766
732552.5	346.6367924528302
734648.5	349.9109947643979
736744.5	1083.5170454545455
738840.5	302.6290322580645
740936.5	384.09354838709675
743032.5	611.3724489795918
745128.5	488.35887096774195
747224.5	461.24793388429754
749320.5	485.7051792828685
751416.5	387.8510638297872
753512.5	358.83112582781456
755608.5	284.9004329004329
757704.5	315.8105726872247
759800.5	702.8627935723115
761896.5	381.57438016528926
763992.5	402.6303630363036
766088.5	330.5490797546012
768184.5	287.6892857142857
770280.5	317.8313725490196
772376.5	281.8231046931408
774472.5	265.1721439749609
776568.5	322.575
778664.5	325.7980769230769
780760.5	302.3006756756757
782856.5	319.1784232365145
784952.5	285.55335968379444
787048.5	329.311320754717
789144.5	319.8119658119658
791240.5	326.989898989899
793336.5	308.20283018867923
795432.5	342.40181268882174
797528.5	324.5221674876847
799624.5	329.491452991453
801720.5	348.7368421052632
803816.5	347.16379310344826
805912.5	285.3134328358209
808008.5	317.11494252873564
810104.5	326.9842931937173
812200.5	330.6190476190476
814296.5	348.8189655172414
816392.5	368.3645833333333
818488.5	330.95544554455444
820584.5	325.4870317002882
822680.5	346.1923076923077
824776.5	349.29047619047617
826872.5	334.6170212765957
828968.5	346.51452282157675
831064.5	345.5217391304348
833160.5	349.82
835256.5	347.06756756756755
837208.5	349.42763157894734
