#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	3.3085194375516956E-4
9.0	7.089684509039348E-4
10.0	9.45291267871913E-4
11.0	0.0012525109299302848
12.0	0.0017251565638662413
13.0	0.002741344676828548
14.0	0.005269998818385915
15.0	0.009972822876048682
16.0	0.018764031667257475
17.0	0.027106227106227107
18.0	0.036724565756823827
19.0	0.038000708968450904
20.0	0.04813895781637717
21.0	0.052983575564220724
22.0	0.048351648351648346
23.0	0.043601559730591995
24.0	0.037409901926030956
25.0	0.028287841191066997
26.0	0.016022686990428924
27.0	0.013210445468509985
28.0	0.01032730710150065
29.0	0.009594706368899919
30.0	0.008460356847453622
31.0	0.00673520028358738
32.0	0.006049864114380243
33.0	0.004986411438024341
34.0	0.005199101973295522
35.0	0.004608294930875576
36.0	0.005128205128205128
37.0	0.006026231832683446
38.0	0.004962779156327543
39.0	0.006900626255464965
40.0	0.008342195438969632
41.0	0.008838473354602387
42.0	0.012406947890818858
43.0	0.01590452558194494
44.0	0.020276497695852533
45.0	0.023112371499468272
46.0	0.02802788609240222
47.0	0.033203355784000944
48.0	0.04083658277206664
49.0	0.04665012406947891
50.0	0.04648469809760132
51.0	0.047311827956989246
52.0	0.032470755051400214
53.0	0.03348694316436252
54.0	0.028287841191067
55.0	0.021458111780692426
56.0	0.014132104454685098
57.0	0.008224034030485643
58.0	0.006900626255464965
59.0	0.005529953917050691
60.0	0.002859506085312537
61.0	0.001488833746898263
62.0	0.0014415691835046674
63.0	7.326007326007326E-4
64.0	3.3085194375516956E-4
65.0	2.1269053527118043E-4
66.0	1.1816140848398913E-4
67.0	9.45291267871913E-5
68.0	9.45291267871913E-5
69.0	1.4179369018078695E-4
70.0	0.0
71.0	0.0
72.0	4.726456339359565E-5
73.0	0.0
74.0	0.0
75.0	0.0
76.0	0.0
77.0	0.0
78.0	0.0
79.0	0.0
80.0	0.0
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	2.3632281696797826E-5
