#Read position (bp)	Clipping profile
0.0	29.649281548228206
1.0	0.5270865054206292
2.0	0.5206383279667857
3.0	0.5125469052908336
4.0	0.503831465441929
5.0	0.4945336095649352
6.0	0.48692060005491355
7.0	0.47914118596543775
8.0	0.4716321793175748
9.0	0.46416477381457544
10.0	0.45665576716671247
11.0	0.44927156395344
12.0	0.44118014127748795
13.0	0.4340871460782601
14.0	0.42693174916173693
15.0	0.4196307482381916
16.0	0.41251695246653186
17.0	0.4048415412392149
18.0	0.3977693466124188
19.0	0.3905307474061686
20.0	0.3830425413307374
21.0	0.3760535489936683
22.0	0.36962617211225657
23.0	0.36259557863032393
24.0	0.3543585519473496
25.0	0.34753596418973454
26.0	0.34069257585968765
27.0	0.3340155921090948
28.0	0.3267561923304129
29.0	0.3197047982760486
30.0	1.0599971711221492
31.0	1.2921939611778117
32.0	1.0955661499804474
33.0	0.9729259749228298
34.0	1.02619624092055
35.0	1.7966078426478298
36.0	1.2121741590328565
37.0	1.2400885272362696
38.0	0.9599464177254158
39.0	1.1918728003394652
40.0	1.0551714383179824
41.0	1.0296283353717894
42.0	1.2288146169782592
43.0	0.9772524939886346
44.0	1.132632770053832
45.0	0.8851267586883991
46.0	0.9356721496975596
47.0	1.06332526271123
48.0	0.8292148199918461
49.0	1.0187496359899824
50.0	0.8521786519565018
51.0	0.7644002362945028
52.0	0.784784797277621
53.0	0.8085182504222516
54.0	0.6930958739984524
55.0	0.7820599222890613
56.0	0.6996896554593182
57.0	0.8482473437669005
58.0	0.6667831498722845
59.0	0.6304445498340114
60.0	0.6189834344241154
61.0	0.6636630640075215
62.0	0.6347086671825208
63.0	0.5760718534974082
64.0	0.5715789298521495
65.0	0.6048598457429549
66.0	0.557039329722354
67.0	0.5219695646024178
68.0	0.5506327534133739
69.0	0.5624890796994734
70.0	0.4650175972842773
71.0	0.42156520147434456
72.0	0.4536396841641082
73.0	0.3384877151819218
74.0	0.32018321144197887
75.0	0.26217041492981885
76.0	0.16397091247951143
77.0	0.14656083335413392
78.0	0.11342552147035087
79.0	0.09645225436604016
80.0	0.09568263318606528
81.0	0.08517834410802985
82.0	0.08861043855926916
83.0	0.09497541372338567
84.0	0.09813710073301217
85.0	0.10256762266097562
86.0	0.10762216176189168
87.0	0.11384153291898592
88.0	0.11696161878374893
89.0	0.12199535731223324
90.0	0.1267794889715365
91.0	0.1321668372313606
92.0	0.1374709832014577
93.0	0.1430871377580311
94.0	0.14976412150862392
95.0	0.1546314554576542
96.0	0.16070522260772616
97.0	0.16659178460591237
98.0	0.17266555175598433
99.0	0.17932173493414538
100.0	0.18472988376640123
101.0	0.19065804690945096
102.0	0.19716862608058974
103.0	0.20322159265822995
104.0	0.20914975580127965
105.0	0.21580593897944073
106.0	0.22215011357112546
107.0	0.22874389503199127
108.0	0.23477606103719972
109.0	0.24057942074565894
110.0	0.2466947890405944
111.0	0.2526229521836441
112.0	0.258530314754262
113.0	0.2652905007945819
114.0	0.2718426811105842
115.0	0.27843646257145
116.0	0.2853838537636556
117.0	0.29245604839045175
118.0	0.29892502641672697
119.0	0.3056020101673198
120.0	0.31207098819359513
121.0	0.3189143765236419
122.0	0.3256121608466665
123.0	0.3330171646323707
124.0	0.34017256154889386
125.0	0.3466415395751691
126.0	0.3541089450781686
127.0	0.36145154714657746
128.0	0.3684405394836466
129.0	0.3756791386898968
130.0	0.3831465441928962
131.0	0.3903019411094193
132.0	0.39851816721996186
133.0	0.40544475783973577
134.0	0.41332817479137024
135.0	0.4207955802943697
136.0	0.42822138465250564
137.0	0.435189576417143
138.0	0.4423865744785297
139.0	0.44954197139505275
140.0	0.4572589837672333
141.0	0.46487199327725504
142.0	0.4723393987802544
143.0	0.480638827180524
144.0	0.48864704756674904
145.0	0.4983609148923779
146.0	0.5073051610380318
147.0	0.515978999742073
148.0	0.5225935817753704
149.0	0.5230927955137326
