#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	2.642007926023778E-4
12.0	4.4033465433729633E-4
13.0	0.002730074856891237
14.0	0.006428885953324526
15.0	0.011712901805372085
16.0	0.013650374284456188
17.0	0.028885953324526637
18.0	0.03601937472479084
19.0	0.039718185821224126
20.0	0.04597093791281374
21.0	0.04658740642888596
22.0	0.03778071334214002
23.0	0.03734037868780273
24.0	0.028093350946719504
25.0	0.028269484808454422
26.0	0.01312197269925143
27.0	0.009951563188022898
28.0	0.006957287538529282
29.0	0.005812417437252311
30.0	0.0047556142668428005
31.0	0.003082342580361075
32.0	0.004227212681638045
33.0	0.003698811096433289
34.0	0.004139145750770587
35.0	0.002994275649493615
36.0	0.0029062087186261555
37.0	0.004227212681638045
38.0	0.004315279612505504
39.0	0.004403346543372964
40.0	0.006428885953324527
41.0	0.011184500220167329
42.0	0.015059445178335535
43.0	0.018758256274768827
44.0	0.022016732716864818
45.0	0.027124614707177454
46.0	0.03478643769264641
47.0	0.04614707177454866
48.0	0.045530603258476444
49.0	0.04570673712021135
50.0	0.046499339498018495
51.0	0.05125495376486129
52.0	0.047027741083223246
53.0	0.0408630559225011
54.0	0.03487450462351387
55.0	0.02668428005284016
56.0	0.02051959489211801
57.0	0.010215763980625275
58.0	0.005195948921180096
59.0	0.002906208718626156
60.0	0.0013210039630118893
61.0	5.284015852047556E-4
62.0	3.5226772346983706E-4
63.0	3.5226772346983706E-4
64.0	8.806693086745927E-5
65.0	0.0
66.0	0.0
67.0	8.806693086745927E-5
68.0	0.0
69.0	0.0
70.0	0.0
71.0	0.0
72.0	0.0
73.0	0.0
74.0	0.0
75.0	0.0
76.0	0.0
77.0	0.0
78.0	0.0
79.0	0.0
80.0	0.0
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
