#Read position (bp)	Clipping profile
0.0	30.367262182003678
1.0	0.5122041830239314
2.0	0.5060355534854837
3.0	0.4984807150619912
4.0	0.4909951870827511
5.0	0.4833017277707543
6.0	0.47657861467828866
7.0	0.46930101803180513
8.0	0.4625779049393395
9.0	0.45536961873710824
10.0	0.44823064297912923
11.0	0.4420620134406814
12.0	0.4339526914631712
13.0	0.4256354381529044
14.0	0.418704393727682
15.0	0.412189211967973
16.0	0.40574334065251627
17.0	0.3987429857830417
18.0	0.3923664249118371
19.0	0.3846729655998403
20.0	0.37774192117461797
21.0	0.3716426020804223
22.0	0.3651967307649655
23.0	0.3584736176724998
24.0	0.35209705680129527
25.0	0.3468294630381263
26.0	0.3401756603899128
27.0	0.33262082196642045
28.0	0.32423425821190144
29.0	0.31661010934415684
30.0	0.942206179164726
31.0	0.9896145230332468
32.0	1.3308298400869432
33.0	0.9713165657506598
34.0	1.5752184665202829
35.0	0.9060261272650654
36.0	0.9652865571007163
37.0	0.998001086787766
38.0	1.0456866724332956
39.0	1.1169378091245814
40.0	1.3297208729789074
41.0	1.238439017898729
42.0	0.91427407013108
43.0	0.8344284383525185
44.0	0.9180168341206999
45.0	0.9124026881362699
46.0	0.9341661676314681
47.0	0.8235466986049194
48.0	0.7292151839776433
49.0	0.7862576795972233
50.0	0.8850250626566416
51.0	1.360286778894138
52.0	0.8421218976645153
53.0	0.8073973650941513
54.0	0.7019761793865195
55.0	0.9859410694878791
56.0	0.704332734491095
57.0	0.6469436866502539
58.0	0.7367700224011355
59.0	0.6535281788542152
60.0	0.5754153081819593
61.0	0.6246950340452903
62.0	0.6111794974161067
63.0	0.5447107813782244
64.0	0.7909014793621222
65.0	0.5794353139485884
66.0	0.535007319182913
67.0	0.6416760928870849
68.0	0.5747222037394372
69.0	0.49501519284938006
70.0	0.5949608534610864
71.0	0.45030995630669596
72.0	0.4720041253576419
73.0	0.35202774635704304
74.0	0.32832357442278265
75.0	0.3401063499456606
76.0	0.15525539512498057
77.0	0.147631246257236
78.0	0.11990706855634663
79.0	0.07901390644753477
80.0	0.08344977487967707
81.0	0.08878667908709828
82.0	0.09814358906114844
83.0	0.09079668197041275
84.0	0.11450085390467318
85.0	0.10555980659613635
86.0	0.11547120012420431
87.0	0.12496673098675894
88.0	0.12288741765919223
89.0	0.1364029542883758
90.0	0.14215572116131034
91.0	0.15567125779049396
92.0	0.13716536917515026
93.0	0.14714607314747047
94.0	0.15303746090890943
95.0	0.159414021780114
96.0	0.1662064453168319
97.0	0.16814713775589415
98.0	0.1709195555259831
99.0	0.17701887462017876
100.0	0.18270233104886108
101.0	0.18873233969880454
102.0	0.1956633841240269
103.0	0.2015547718854659
104.0	0.20779271186816597
105.0	0.21513961895890166
106.0	0.22172411116286292
107.0	0.22927894958635528
108.0	0.23600206267882096
109.0	0.24286379665979108
110.0	0.24951759930800455
111.0	0.2576269212855147
112.0	0.2644886552664848
113.0	0.2713503892474549
114.0	0.27828143367267727
115.0	0.28535109898640404
116.0	0.29124248674784303
117.0	0.29782697895180427
118.0	0.3047580233770266
119.0	0.311689067802249
120.0	0.3181349391177058
121.0	0.3246501208774148
122.0	0.33248220107791604
123.0	0.33844289928360727
124.0	0.3448194601548118
125.0	0.35112671058176415
126.0	0.35826568633974315
127.0	0.3639491427684255
128.0	0.3704643245281345
129.0	0.3773260585091046
130.0	0.3846729655998403
131.0	0.39153469958081044
132.0	0.39853505445028503
133.0	0.40505023620999403
134.0	0.4114961075254508
135.0	0.41842715195067315
136.0	0.42411060837935544
137.0	0.4307644110275689
138.0	0.43783407634129573
139.0	0.4442106372125003
140.0	0.4512109920819749
141.0	0.45689444851065714
142.0	0.4640334242686362
143.0	0.4712417104708674
144.0	0.4785193071173509
145.0	0.48600483509659104
146.0	0.4926586377448045
147.0	0.4999362343912879
148.0	0.5067286579280059
149.0	0.5067979683722581
