#Read position (bp)	Clipping profile
0.0	30.941557782484253
1.0	0.49111220878697043
2.0	0.48644332722093286
3.0	0.4795415022972251
4.0	0.471489373219566
5.0	0.46248993483865286
6.0	0.45667074911866407
7.0	0.45044557369728055
8.0	0.44239344461962143
9.0	0.435694614546611
10.0	0.42858979477220593
11.0	0.4225676142015198
12.0	0.417086753232693
13.0	0.41032025820945006
14.0	0.405110057041553
15.0	0.39881721666993714
16.0	0.3929303659997158
17.0	0.38582554622531073
18.0	0.3785853965504408
19.0	0.3717512365769655
20.0	0.36532306630488476
21.0	0.35957154553512827
22.0	0.3542936794169988
23.0	0.34766251429422074
24.0	0.342181653325394
25.0	0.33609180780447534
26.0	0.32817500862728116
27.0	0.321679173404968
28.0	0.31511567323242234
29.0	0.308755167910574
30.0	1.0139592792329502
31.0	1.2977460805077576
32.0	0.9111762198298903
33.0	0.9718040152381467
34.0	1.012199990526907
35.0	1.723020292718575
36.0	0.9745782781976764
37.0	1.0073957790604045
38.0	1.0184251659482904
39.0	0.9628722418074661
40.0	1.2159391556767511
41.0	1.136432839153647
42.0	0.9732249791930279
43.0	1.5254386380398817
44.0	1.1855575930223903
45.0	1.074654739591439
46.0	1.3960632531954773
47.0	0.8849222191397079
48.0	0.7882966702077991
49.0	0.6910621367237985
50.0	0.7981757529417337
51.0	0.7895823042622152
52.0	0.6784764559805667
53.0	0.7156245136581701
54.0	0.7565618085487898
55.0	0.7916122527691881
56.0	0.7900559589138422
57.0	0.930054740944738
58.0	0.6501925067834113
59.0	0.5453118339231461
60.0	0.6558086976527029
61.0	0.6231265266904396
62.0	0.7863343866510586
63.0	1.1741898813833422
64.0	0.5210877817399365
65.0	0.47250434747305237
66.0	0.4861726674200031
67.0	0.5563412208110321
68.0	0.43319101138801114
69.0	0.4576857233721505
70.0	0.41580111917827683
71.0	0.41248553661688786
72.0	0.3831189482160136
73.0	0.3193785650970654
74.0	0.29894375012687174
75.0	0.28534309513015355
76.0	0.12964604464533416
77.0	0.13208198285370162
78.0	0.11543640509652404
79.0	0.09026504361006042
80.0	0.08052129077659063
81.0	0.09933214694120593
82.0	0.09317463647005488
83.0	0.09689620873283847
84.0	0.10345970890538411
85.0	0.10636930176537854
86.0	0.10616630691468126
87.0	0.1109028534309513
88.0	0.11618071954908077
89.0	0.12240589497046425
90.0	0.1280897507899883
91.0	0.13289396225649075
92.0	0.1378335036234581
93.0	0.14385568419414427
94.0	0.15001319466529534
95.0	0.15542639068388964
96.0	0.16117791145364613
97.0	0.16632044767131074
98.0	0.17261328804292664
99.0	0.17917678821547225
100.0	0.1841163295824396
101.0	0.1899355153024285
102.0	0.19636368557450928
103.0	0.2029271857470549
104.0	0.20935535601913566
105.0	0.215715861340984
106.0	0.22167037696143774
107.0	0.22769255753212395
108.0	0.23452671750559925
109.0	0.23899260422093957
110.0	0.24535310954278794
111.0	0.25103696536231196
112.0	0.2571268108832306
113.0	0.26416396570740325
114.0	0.2702538112283218
115.0	0.2773586310027269
116.0	0.28419279097620226
117.0	0.2903503014473533
118.0	0.29799644082361776
119.0	0.3044246110956985
120.0	0.3105821215668496
121.0	0.3178222712417195
122.0	0.32540074566775157
123.0	0.3306109468356486
124.0	0.3383247511621455
125.0	0.345497235886783
126.0	0.35070743705468005
127.0	0.3577445918788527
128.0	0.36336078274814426
129.0	0.36951829321929536
130.0	0.37608179339184095
131.0	0.3820363090122947
132.0	0.3885321442346079
133.0	0.3952309743076184
134.0	0.39969686102295876
135.0	0.4055837116931801
136.0	0.4108615778113095
137.0	0.4169514233322282
138.0	0.42392091320616837
139.0	0.4300784236773194
140.0	0.4368449187005623
141.0	0.44435572817636193
142.0	0.45078389844844274
143.0	0.4570767388200586
144.0	0.4634372441419069
145.0	0.47135404331910113
146.0	0.47832353319304133
147.0	0.48495469831581933
148.0	0.49016489948371644
149.0	0.49016489948371644
