#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	8.212203334154553E-5
11.0	0.0014781966001478197
12.0	0.001970928800197093
13.0	0.003941857600394186
14.0	0.007062494867372917
15.0	0.010757986367742466
16.0	0.018066847335140017
17.0	0.03112425063644576
18.0	0.037365525170403216
19.0	0.045413484437874685
20.0	0.049108975938244225
21.0	0.05543237250554324
22.0	0.040978894637431235
23.0	0.03293093536995976
24.0	0.02627905066929457
25.0	0.018641701568530837
26.0	0.011661328734499467
27.0	0.009444033834277736
28.0	0.006569762667323643
29.0	0.00459883386712655
30.0	0.004106101667077277
31.0	0.003941857600394186
32.0	0.0030385152336371846
33.0	0.004023979633735731
34.0	0.003941857600394186
35.0	0.004023979633735731
36.0	0.004516711833785004
37.0	0.004023979633735731
38.0	0.005255810133858914
39.0	0.004270345733760368
40.0	0.004434589800443458
41.0	0.006405518600640552
42.0	0.009608277900960829
43.0	0.012564671101256468
44.0	0.012646793134598013
45.0	0.01823109140182311
46.0	0.02151597273548493
47.0	0.024390243902439025
48.0	0.035969450603596936
49.0	0.04278557937094522
50.0	0.05649995893898333
51.0	0.0569926911390326
52.0	0.04845199967151186
53.0	0.057156935205715693
54.0	0.043853165804385315
55.0	0.03301305740330131
56.0	0.021598094768826476
57.0	0.016835016835016835
58.0	0.009115545700911555
59.0	0.007144616900714462
60.0	0.0036133694670280035
61.0	0.0011497084667816374
62.0	0.0011497084667816376
63.0	3.2848813336618213E-4
64.0	4.1061016670772765E-4
65.0	0.0
66.0	8.212203334154553E-5
67.0	0.0
68.0	0.0
69.0	0.0
70.0	0.0
71.0	0.0
72.0	0.0
73.0	0.0
74.0	0.0
75.0	0.0
76.0	0.0
77.0	0.0
78.0	0.0
79.0	0.0
80.0	0.0
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
